media_id,media_name,affected_queue_sources,reported_distinct_source_ids,failed_execution_steps,category,actual_entry_urls,source_ids,reported_source_ids,reported_website_source_ids,reported_epaper_source_ids
eef09c2b-600b-4398-82e7-f56a694d08b8,湖州市新闻传媒中心,3,1,3,网络/TLS/超时,https://www.hzgdw.cn/,4884f74c-4d86-484e-9f86-dd0eac0f429e | c3fd441b-87c6-4b87-9bc0-542c19b4913a | b25fc002-05cf-49ef-a39a-f1875e12f886,4884f74c-4d86-484e-9f86-dd0eac0f429e,1,0
169e4529-b024-4959-8321-a74c79a2df7a,石家庄日报,2,1,2,网络/TLS/超时,https://www.sjzdaily.com.cn/,01ade713-0acc-44a4-8443-58e70841746e | 3fdfe6a8-6696-4809-812a-492d82ff0dde,01ade713-0acc-44a4-8443-58e70841746e,1,0
83abca40-dd7a-4e2d-8ee4-4307632964b9,北京广播电视台,2,1,2,其他：HTTP 405，原因未定,https://www.brtv.org.cn/,1209803e-bc2a-4c5b-96bf-7ef7f472aa14 | c1c6806a-ae77-46d7-80f9-4deee21ef6fc,c1c6806a-ae77-46d7-80f9-4deee21ef6fc,1,0
392bd6a7-f4c3-4892-8c75-f69398be69b2,东莞日报社,3,1,3,网络/TLS/超时,https://www.dgrb.com.cn/,8a906243-15af-4996-ab85-3cf8d99b5d9f | a8d72a09-8f77-436a-8dac-1b0f480bd506 | b1baf07e-8878-479b-bad5-861623771fac,a8d72a09-8f77-436a-8dac-1b0f480bd506,1,0
921f1b28-a033-4a35-9242-4b35f4121173,黔南广播电视台,2,1,2,网络/TLS/超时,https://www.qntv.cn/,4f0b06e7-d9e3-495f-a90f-b4e55c44157d | 43a5b304-566d-4e28-b681-5ddb2b0fe632,4f0b06e7-d9e3-495f-a90f-b4e55c44157d,1,0
3d9bbf13-f0c4-41b2-bd7f-a0718c602a00,潍坊日报社,2,1,2,网络/TLS/超时,https://www.wfnews.com.cn/,531e5237-a016-4fc2-b52b-bdce687c4693 | 4a5c22ff-8819-4db4-ac72-1430aea1a93e,531e5237-a016-4fc2-b52b-bdce687c4693,1,0
b027702f-1c50-434a-971e-0d032727013e,常州广播电视台,3,1,3,网络/TLS/超时,https://www.cznews.cn/,d0b99757-7c2e-45a1-bc97-4a6577091b02 | 238071ef-bf94-483d-9d41-c7971110c253 | c2eba501-2be8-4f83-925c-86395c65baf8,d0b99757-7c2e-45a1-bc97-4a6577091b02,1,0
9be28e9e-aac2-4619-862a-1378c45921d8,甘肃广播电视总台,3,1,3,列表页解析失败,https://www.gstv.com.cn/,5f70c9ac-2e7d-4c48-aff8-f0da21c456ba | cfc66d9f-74c6-4d6e-a5f7-48acddbc3b26 | 5bccc91a-8adf-4f3f-8fbe-77441f5bd37b,cfc66d9f-74c6-4d6e-a5f7-48acddbc3b26,1,0
f0339351-e426-4be9-b35b-77d6880d17ad,宁夏日报报业集团,3,1,3,WAF/403/412/反爬,https://www.nxnews.net/,af8805cc-ccdc-47fc-bef5-49794c293ee6 | b6b1f28c-320a-4aec-8169-b4b00ed97a5f | 4649be6e-b8b0-497d-8e0f-863846af11f4,b6b1f28c-320a-4aec-8169-b4b00ed97a5f,1,0
21287208-464c-4e2b-bb83-07f1ccb2ce07,新疆日报,2,1,2,列表页解析失败,https://www.ts.cn/,4a3f8200-f4cc-4446-8815-6ed6210d234a | b3230c00-8b83-4ffc-b460-b44e6eff4817,4a3f8200-f4cc-4446-8815-6ed6210d234a,1,0
05b0159a-2f62-4f79-b887-ca7a1e1f9cf5,天山网,3,1,3,列表页解析失败,https://www.ts.cn/,c9715174-3d3f-4438-9cae-2131ccd2509f | 8a7bf076-3a46-4e5d-92e9-ad2108d883bf | a2cb1288-480e-490b-a067-4b6a3f57097c,8a7bf076-3a46-4e5d-92e9-ad2108d883bf,1,0
5e4bb677-916b-4ca7-b4c7-da837be1a6ba,盐阜大众报报业集团,2,1,2,网络/TLS/超时,https://www.ycrb.cn/,c03b5786-44f3-4634-8b41-4dd6533866a0 | 75d0fa60-1fec-4f0d-8e54-572f44284c12,c03b5786-44f3-4634-8b41-4dd6533866a0,1,0
707fa244-d7da-4d3d-8b43-60c808f8aa66,吉林广播电视台,3,1,3,列表页解析失败,https://www.jlntv.cn/,da79ced7-4887-446c-9dc2-2895e715a96f | cbe9f3f4-5330-436f-9abb-ee761d89da10 | 56681003-4cd5-4f6e-8494-1fb60ddd3799,cbe9f3f4-5330-436f-9abb-ee761d89da10,1,0
4bece79e-7ee1-4d58-aa7b-72dabc6ba517,中国文化报,3,1,3,列表页解析失败,https://www.ccdy.cn/,28e2c835-3f34-4ced-8994-c294c31c7145 | 781c4759-7ea7-40d1-8deb-25ef87ffa30a | 25aa058e-2913-4ad5-84a5-a39e8f6b625e,25aa058e-2913-4ad5-84a5-a39e8f6b625e,1,0
3354b7ab-400e-421f-9291-b9dbac1aa75f,大连新闻传媒集团,2,1,2,列表页解析失败,https://www.dlrm.com/,5e972965-1e69-489b-9324-2b8496864833 | ba0366d2-f9ce-42e7-8804-309018b8b4da,43c9802e-3ef2-4e2d-b4e7-dcf8610c67e5,0,1
2cce0d71-709c-45f4-b27b-f4736dbaab96,内蒙古日报,3,1,3,列表页解析失败,https://www.nmgnews.com.cn/,2bb2ca0e-4999-4516-bf5b-3a5e6c8826eb | 91b12444-4be6-44b5-8147-ac02d5e678ba | 015b5e24-3293-467e-a5b7-89ada9ee2277,91b12444-4be6-44b5-8147-ac02d5e678ba,1,0
a1b67d3e-b993-43fd-9af3-e5975b78ebec,西藏日报,3,1,3,网络/TLS/超时,https://www.xzdaily.com.cn/,060b95e5-770d-41d3-a806-acc90d8c5f5b | c7ab056d-d395-411c-8f50-b66e13704b79 | 64e84caf-328b-4d47-8a2a-f0f24f2fde5f,060b95e5-770d-41d3-a806-acc90d8c5f5b,1,0
029ab681-1e94-4c44-afb6-876fe0dccf20,新疆广播电视台,3,1,3,列表页解析失败,https://www.xjtvs.com.cn/,c354a630-9913-4aab-9184-f3bea75628ba | 15fc5d8e-9e54-4ac3-ba65-d84af0250141 | 2f65d84e-bd75-4155-a5c4-b996a84e4015,15fc5d8e-9e54-4ac3-ba65-d84af0250141,1,0
f2467aa6-7d5f-4b08-b43b-37f8122cf1c0,徐州广播电视台,3,1,3,列表页解析失败,https://www.cnxz.com.cn/,3e031367-ebd5-435f-ae68-c60337449499 | 10ec9e4c-fd47-49bb-ae8e-65e016b1b1a1 | 0ae022f2-3419-4a6a-b5be-fb4c697c32ba,3e031367-ebd5-435f-ae68-c60337449499,1,0
62d913fb-9839-4aa0-b17b-22a0f3d012c6,内蒙古广播电视台,3,1,3,列表页解析失败,https://www.nmtv.cn/,b5387863-f152-4117-955b-f9412b6b4a92 | e86e123c-7822-4902-865e-2a0cf80295ef | 824f31e6-5efb-430b-bd5c-4bbbc9535962,e86e123c-7822-4902-865e-2a0cf80295ef,1,0
5fdd99b1-a9a9-4314-a93f-1bba505b442f,吉林日报,2,1,2,网络/TLS/超时,https://www.jlrb.com.cn/,8e7506de-a594-483a-b1c1-9eeec2ca5285 | 2655bafd-fe9f-4353-8e35-a3690ee63d8c,2655bafd-fe9f-4353-8e35-a3690ee63d8c,1,0
ccbc3bb6-69e8-412a-80b5-8ecccc4c7eee,江西日报,3,1,3,网络/TLS/超时,https://www.jxxw.com.cn/,97525118-a931-4f9b-928f-17d9c7a7e2fa | c6970c61-9673-46c8-a4d3-3096a0113eba | 7ee70b31-16b2-4c3a-b11d-dfca44c2b711,7ee70b31-16b2-4c3a-b11d-dfca44c2b711,1,0
8dc51d7f-70e7-4866-8d4b-092eee142ebc,辽宁广播电视台,2,1,2,网络/TLS/超时,https://www.lntv.cn/,dd9ffcbc-7720-44a3-a217-8122c6ade043 | 8dde8351-61ba-4476-9cb7-ee501944988b,dd9ffcbc-7720-44a3-a217-8122c6ade043,1,0
