source_id,media_id,media_name,queue_source_url,direct_evidence_category,media_entry_category,evidence_scope,actual_entry_urls,report_count,reports,error_evidence,detail_evidence
f632c210-8ab1-4f64-8b9e-6317cf9bddad,4bceb8de-a659-4b56-877c-978a8602d167,经济参考报,http://www.jjckb.cn,其他：未注册抓取配置,其他：未注册抓取配置,配置缺失：未访问网站,,0,,No scraper registered for 经济参考报,
2f9127cf-ac48-456a-b4cb-b658cc155c43,50d755d6-b643-4e90-af7d-6a9756c0a5a3,中国教育电视台,http://www.centv.cn,其他：未注册抓取配置,其他：未注册抓取配置,配置缺失：未访问网站,,0,,No scraper registered for 中国教育电视台,
6ce12ebe-a41e-47e1-b515-ab886f2dc9d9,4bceb8de-a659-4b56-877c-978a8602d167,经济参考报,http://www.jjckb.cn,其他：未注册抓取配置,其他：未注册抓取配置,配置缺失：未访问网站,,0,,No scraper registered for 经济参考报,
2ed214ca-bebc-49fb-a60e-5c69e8ec5c3c,79abc807-a570-40fd-8553-ef487b754761,解放军报,http://www.81.cn,其他：未注册抓取配置,其他：未注册抓取配置,配置缺失：未访问网站,,0,,No scraper registered for 解放军报,
12dcbd8b-279f-43bd-b720-3f4fe4f430b1,51fd9095-83ce-4f49-a663-660f174800f8,中国青年报,https://news.cyol.com/,其他：同媒体重复执行，本 source 未独立验证,数据格式/无效文章,无本 source_id 实测报告；仅有同媒体入口证据,https://www.cyol.com/,0,,列表链接为 0；见逐媒体证据 JSON,http://www.cyol.com/home/xukezheng.htm Missing title or substantive body
cb9f3c8a-6948-494b-b762-74489da1383e,526786e5-c0eb-4882-b676-94c6b6366514,经济日报,http://www.ce.cn,其他：未注册抓取配置,其他：未注册抓取配置,配置缺失：未访问网站,,0,,No scraper registered for 经济日报,
c354a630-9913-4aab-9184-f3bea75628ba,029ab681-1e94-4c44-afb6-876fe0dccf20,新疆广播电视台,http://www.xjtvs.com.cn,其他：同媒体重复执行，本 source 未独立验证,列表页解析失败,无本 source_id 实测报告；仅有同媒体入口证据,https://www.xjtvs.com.cn/,0,,列表链接为 0；见逐媒体证据 JSON,
2c3210ab-d049-4b37-98b7-b53a9aa255b0,d9f2c0ac-13ee-4e08-ae85-cf7b888d1f64,中国纪检监察报,http://www.ccdi.gov.cn,其他：未注册抓取配置,其他：未注册抓取配置,配置缺失：未访问网站,,0,,No scraper registered for 中国纪检监察报,
05dc3bbf-61b8-4aa1-ae9b-d33e14a18f9e,6c9bcc8d-2da2-404e-87b6-fddd86feebb6,中国日报,http://www.chinadaily.com.cn,其他：未注册抓取配置,其他：未注册抓取配置,配置缺失：未访问网站,,0,,No scraper registered for 中国日报,
d9ec8081-73c2-4460-a374-93fba15760ed,fd0590b3-4858-4136-a6c2-7128438f030d,法治日报,http://www.legaldaily.com.cn,其他：未注册抓取配置,其他：未注册抓取配置,配置缺失：未访问网站,,0,,No scraper registered for 法治日报,
a582584e-fc8a-466c-82ab-3aed793d3f8d,845d2237-6bf9-45a3-97d1-c30515d39dad,人民政协报,http://www.rmzxw.com.cn,其他：未注册抓取配置,其他：未注册抓取配置,配置缺失：未访问网站,,0,,No scraper registered for 人民政协报,
7bb9dd05-6801-47ff-ad2c-af2616cf951a,50d755d6-b643-4e90-af7d-6a9756c0a5a3,中国教育电视台,http://www.centv.cn,其他：未注册抓取配置,其他：未注册抓取配置,配置缺失：未访问网站,,0,,No scraper registered for 中国教育电视台,
a12c64f1-a5f5-4d90-a748-c4f707854d44,0dbfb32e-0c32-4a79-ae3a-aede5232fe86,中国航天报,http://www.csn.spacechina.com/,其他：同媒体重复执行，本 source 未独立验证,URL/入口错误,无本 source_id 实测报告；仅有同媒体入口证据,https://www.spacechina.com/,0,,[fetch] http ���ݲ���/���ƿտǣ����� playwright: https://www.spacechina.com/ | [fetch] http ʧ�ܣ�׼�� playwright: https://www.spacechina.com/n1995122/n1996795/index.html -> Client error '404 Not Found' for url 'https://www.spacechina.com/n1995122/n1996795/index.html' | [fetch] http ʧ�ܣ�׼�� playwright: https://www.spacechina.com/n2014789/n2414549/c4714952/content.html -> Client error '404 Not Found' for url 'https://www.spacechina.com/n2014789/n2414549/c4714952/content.html' | [fetch] http ʧ�ܣ�׼�� playwright: https://www.spacechina.com/n2014789/n2414549/c4713696/content.html -> Client error '404 Not Found' for url 'https://www.spacechina.com/n2014789/n2414549/c4713696/content.html' | [fetch] http ʧ�ܣ�׼�� playwright: https://www.spacechina.com/n2014789/n2414549/c4709487/content.html -> Client error '404 Not Found' for url 'https://www.spacechina.com/n2014789/n2414549/c4709487/content.html' | [fetch] http ʧ�ܣ�׼�� playwright: https://www.spacechina.com/n2014789/n2888836/c4714965/content.html -> Client error '404 Not Found' for url 'https://www.spacechina.com/n2014789/n2888836/c4714965/content.html' | [fetch] http ʧ�ܣ�׼�� playwright: https://www.spacechina.com/n2014789/n2888836/c4709996/content.html -> Client error '404 Not Found' for url 'https://www.spacechina.com/n2014789/n2888836/c4709996/content.html' | [fetch] http ʧ�ܣ�׼�� playwright: https://www.spacechina.com/n2014789/n2888836/c4707732/content.html -> Client error '404 Not Found' for url 'https://www.spacechina.com/n2014789/n2888836/c4707732/content.html' | [fetch] http ʧ�ܣ�׼�� playwright: https://www.spacechina.com/n2014789/n2888836/c4707289/content.html -> Client error '404 Not Found' for url 'https://www.spacechina.com/n2014789/n2888836/c4707289/content.html' | [fetch] http ʧ�ܣ�׼�� playwright: https://www.spacechina.com/n2014789/n2888836/c4703503/content.html -> Client error '404 Not Found' for url 'https://www.spacechina.com/n2014789/n2888836/c4703503/content.html' | [fetch] http ʧ�ܣ�׼�� playwright: https://www.spacechina.com/n2014789/n2014819/c4452901/content.html -> Client error '404 Not Found' for url 'https://www.spacechina.com/n2014789/n2014819/c4452901/content.html',https://www.spacechina.com/n1995122/n1996795/index.html Missing title or substantive body | https://www.spacechina.com/n2014789/n2414549/c4714952/content.html Missing title or substantive body | https://www.spacechina.com/n2014789/n2414549/c4713696/content.html Missing title or substantive body | https://www.spacechina.com/n2014789/n2414549/c4709487/content.html Missing title or substantive body | https://www.spacechina.com/n2014789/n2888836/c4714965/content.html Missing title or substantive body | https://www.spacechina.com/n2014789/n2888836/c4709996/content.html Missing title or substantive body | https://www.spacechina.com/n2014789/n2888836/c4707732/content.html Missing title or substantive body | https://www.spacechina.com/n2014789/n2888836/c4707289/content.html Missing title or substantive body | https://www.spacechina.com/n2014789/n2888836/c4703503/content.html Missing title or substantive body | https://www.spacechina.com/n2014789/n2014819/c4452901/content.html Missing title or substantive body
6c3d2281-b98e-4870-9066-86fc6a3a618a,7e37bfdb-94cb-47e5-b372-ee718931094d,中国新闻社,http://www.chinanews.com.cn,其他：未注册抓取配置,其他：未注册抓取配置,配置缺失：未访问网站,,0,,No scraper registered for 中国新闻社,
fddba8cb-abe9-4fb5-a62d-63a2c0c4268d,5e64a5bd-5dcc-4402-925e-11bcf414638d,求是,http://www.qstheory.cn,其他：未注册抓取配置,其他：未注册抓取配置,配置缺失：未访问网站,,0,,No scraper registered for 求是,
a2efcfea-cd51-4294-b64a-325abf7f1369,bd760b1a-4d94-4ec0-9bb3-9c08592a2c7e,学习时报,http://www.studytimes.cn,其他：未注册抓取配置,其他：未注册抓取配置,配置缺失：未访问网站,,0,,No scraper registered for 学习时报,
aa7ae184-3fbb-4ace-99c0-9e9b30f9df4d,648f29df-a491-4332-90e3-6fda61ba79fa,湄洲日报,http://www.ptxw.com,其他：未注册抓取配置,其他：未注册抓取配置,配置缺失：未访问网站,,0,,No scraper registered for 湄洲日报,
bdc7ef1a-750c-4262-ac3d-6a2ed9d5443e,6f4a44ac-21ee-44de-b1b5-807f6e0a6237,中央广播电视总台,http://www.cctv.com,其他：未注册抓取配置,其他：未注册抓取配置,配置缺失：未访问网站,,0,,No scraper registered for 中央广播电视总台,
adaefd5c-5c05-45b0-a063-c0295fc1f9ca,6f4a44ac-21ee-44de-b1b5-807f6e0a6237,中央广播电视总台,http://www.cctv.com,其他：未注册抓取配置,其他：未注册抓取配置,配置缺失：未访问网站,,0,,No scraper registered for 中央广播电视总台,
e6f33de8-7d0c-411d-a11f-4c838faab4ff,ea07008d-9e15-4283-b05f-0e03adc77a8b,科技日报,http://www.stdaily.com,其他：未注册抓取配置,其他：未注册抓取配置,配置缺失：未访问网站,,0,,No scraper registered for 科技日报,
696920cd-92cb-4bd2-9c2b-7022d5c9a97a,7e37bfdb-94cb-47e5-b372-ee718931094d,中国新闻社,http://www.chinanews.com.cn,其他：未注册抓取配置,其他：未注册抓取配置,配置缺失：未访问网站,,0,,No scraper registered for 中国新闻社,
79db5362-50c8-4f24-bf9c-412bb2a29423,c9c53c02-70aa-457c-ba39-bd3af0b05220,中国妇女报,http://www.cnwomen.com.cn,其他：未注册抓取配置,其他：未注册抓取配置,配置缺失：未访问网站,,0,,No scraper registered for 中国妇女报,
a26a69e8-3d75-4859-9a7e-d36a178497f3,d77d7043-06db-4ea6-b447-df265734e645,农民日报,http://www.farmer.com.cn,其他：未注册抓取配置,其他：未注册抓取配置,配置缺失：未访问网站,,0,,No scraper registered for 农民日报,
47cc51ca-0879-4f42-9ca1-fa3ddbe9deed,5e64a5bd-5dcc-4402-925e-11bcf414638d,求是,http://www.qstheory.cn,其他：未注册抓取配置,其他：未注册抓取配置,配置缺失：未访问网站,,0,,No scraper registered for 求是,
eefc1945-bb0f-4d61-bb95-7c42476f8f50,ea16bfb0-384e-4d09-a00a-f543d7bd822b,北京日报,http://www.bjd.com.cn,其他：未注册抓取配置,其他：未注册抓取配置,配置缺失：未访问网站,,0,,No scraper registered for 北京日报,
f984e41f-524d-4aa5-acf0-c08b3cc8c63d,67a4c3f2-6cb1-45d5-a8a4-1f32eed1c796,光明日报,https://www.gmw.cn,其他：未注册抓取配置,其他：未注册抓取配置,配置缺失：未访问网站,,0,,No scraper registered for 光明日报,
18508e26-7b48-44ee-b7fd-a013c2ac024f,845d2237-6bf9-45a3-97d1-c30515d39dad,人民政协报,http://www.rmzxw.com.cn,其他：未注册抓取配置,其他：未注册抓取配置,配置缺失：未访问网站,,0,,No scraper registered for 人民政协报,
651abe46-e60e-47dd-8e64-28c0eec1b596,90de8b1a-a9c1-4a66-b124-368ad3f8044b,新华社,http://www.xinhuanet.com,其他：未注册抓取配置,其他：未注册抓取配置,配置缺失：未访问网站,,0,,No scraper registered for 新华社,
46d98481-3931-47c2-bb2f-b0b8e727d8e5,7c6c7a10-256c-4d04-aa8d-54cf4d08e1ce,江苏省广播电视总台,http://www.jsbc.com,其他：未注册抓取配置,其他：未注册抓取配置,配置缺失：未访问网站,,0,,No scraper registered for 江苏省广播电视总台,
2bb2ca0e-4999-4516-bf5b-3a5e6c8826eb,2cce0d71-709c-45f4-b27b-f4736dbaab96,内蒙古日报,http://www.nmgnews.com.cn,其他：同媒体重复执行，本 source 未独立验证,列表页解析失败,无本 source_id 实测报告；仅有同媒体入口证据,https://www.nmgnews.com.cn/,0,,列表链接为 0；见逐媒体证据 JSON,
